epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1984,1.32962,1.99049,0.57495,1.23273,0,0.23052,0.45604,0.24414,0.15139,0.22359,0.48578,0.24019,0.13139,1.41506,2.48631,5.42545,1.38747,0,0.000661972,0.000661972,0.000661972
2,54.3042,1.38297,2.06399,0.62265,1.25774,0,0.25013,0.68681,0.26855,0.16591,0.24813,0.68132,0.26294,0.14315,1.33541,2.38856,4.79617,1.34462,0,0.00128479,0.00128479,0.00128479
3,80.8982,1.40511,2.10626,0.62311,1.27306,0,0.15719,0.7967,0.20578,0.13264,0.15543,0.79121,0.20349,0.10723,1.28563,2.5253,5.41634,1.32215,0,0.00186362,0.00186362,0.00186362
4,106.092,1.40891,2.14088,0.63717,1.28622,0,0.20367,0.50872,0.27724,0.16695,0.20147,0.50323,0.27144,0.13903,1.34322,2.67907,5.35,1.38202,0,0.001802,0.001802,0.001802
5,131.229,1.38807,2.07205,0.6183,1.27089,0,0.24209,0.61538,0.2577,0.16413,0.22998,0.61538,0.25374,0.14231,1.32194,2.58801,5.88049,1.35669,0,0.001736,0.001736,0.001736
6,156.613,1.38369,2.08051,0.61051,1.27736,0,0.23603,0.59341,0.25961,0.15791,0.2258,0.5989,0.25597,0.1355,1.38945,2.51787,5.42255,1.4191,0,0.00167,0.00167,0.00167
7,182.098,1.39554,2.07386,0.60782,1.27144,0,0.17048,0.65934,0.21174,0.12724,0.17006,0.64835,0.20919,0.11057,1.40948,2.36057,5.12088,1.36318,0,0.001604,0.001604,0.001604
8,207.331,1.39882,2.07934,0.61136,1.27346,0,0.17057,0.6044,0.21056,0.13657,0.16521,0.60989,0.20773,0.1141,1.34312,2.29383,5.78554,1.34547,0,0.001538,0.001538,0.001538
9,232.582,1.39356,2.04915,0.60513,1.27975,0,0.20019,0.5989,0.23544,0.15047,0.19835,0.59341,0.22999,0.12958,1.34312,2.32282,5.36151,1.35538,0,0.001472,0.001472,0.001472
10,257.709,1.36984,2.03627,0.58715,1.25711,0,0.20157,0.58791,0.25055,0.16269,0.19742,0.6044,0.24374,0.13684,1.32343,2.35254,5.72284,1.33668,0,0.001406,0.001406,0.001406
11,283.307,1.33674,2.00031,0.57462,1.24795,0,0.25003,0.58791,0.2601,0.17525,0.24769,0.58242,0.2552,0.14487,1.2364,2.38675,4.94034,1.29616,0,0.00134,0.00134,0.00134
12,310.027,1.37126,2.03152,0.58829,1.26539,0,0.23251,0.54396,0.26882,0.16054,0.23016,0.53846,0.26201,0.13615,1.39769,2.34302,5.29999,1.38429,0,0.001274,0.001274,0.001274
13,335.308,1.34945,1.97613,0.57687,1.24835,0,0.20034,0.55495,0.25147,0.16053,0.1968,0.56593,0.24478,0.13992,1.33025,2.38186,5.31924,1.33016,0,0.001208,0.001208,0.001208
14,360.617,1.33362,1.95183,0.56468,1.24825,0,0.19654,0.5989,0.25174,0.16515,0.19654,0.5989,0.25174,0.14251,1.33311,2.35129,5.3426,1.3539,0,0.001142,0.001142,0.001142
15,386.067,1.36652,2.0182,0.57683,1.25238,0,0.21081,0.66484,0.25024,0.16169,0.20837,0.67033,0.246,0.13745,1.32195,2.21884,5.16849,1.34094,0,0.001076,0.001076,0.001076
16,411.593,1.35058,1.99891,0.56849,1.24657,0,0.15431,0.76923,0.21291,0.14064,0.1532,0.76374,0.21111,0.1179,1.29382,2.35609,5.33627,1.32344,0,0.00101,0.00101,0.00101
17,437.095,1.31396,1.95407,0.5505,1.23895,0,0.24699,0.62637,0.28991,0.18835,0.24483,0.62088,0.28342,0.16015,1.29145,2.40605,5.62603,1.32775,0,0.000944,0.000944,0.000944
18,463.764,1.34168,1.97458,0.55894,1.26033,0,0.23904,0.56958,0.24214,0.15596,0.23673,0.56409,0.23885,0.13209,1.3199,2.37741,5.29854,1.33037,0,0.000878,0.000878,0.000878
19,489.104,1.32122,1.9621,0.55111,1.23359,0,0.25006,0.6044,0.30948,0.19694,0.24779,0.5989,0.29888,0.17027,1.32668,2.27079,5.38567,1.34823,0,0.000812,0.000812,0.000812
20,516.01,1.33865,1.96311,0.5604,1.25287,0,0.24512,0.7033,0.3078,0.20404,0.24416,0.68132,0.30481,0.17009,1.29927,2.40235,5.3543,1.3308,0,0.000746,0.000746,0.000746
21,563.691,1.31215,1.93789,0.54649,1.29925,0,0.22452,0.64835,0.26947,0.18074,0.22262,0.64286,0.26596,0.14996,1.27028,2.3415,5.5015,1.30517,0,0.00068,0.00068,0.00068
22,587.405,1.32936,1.93377,0.54079,1.29221,0,0.2448,0.64295,0.30675,0.21055,0.2427,0.63745,0.30374,0.1695,1.25538,2.42888,5.11067,1.30722,0,0.000614,0.000614,0.000614
23,612.208,1.30937,1.92881,0.53889,1.2823,0,0.25349,0.55495,0.27748,0.17731,0.25098,0.54945,0.27316,0.15125,1.33582,2.42637,5.56881,1.34188,0,0.000548,0.000548,0.000548
24,635.71,1.3143,1.92667,0.55526,1.28916,0,0.16606,0.63736,0.24622,0.16376,0.16173,0.63187,0.24299,0.13744,1.27305,2.45883,5.38759,1.32169,0,0.000482,0.000482,0.000482
25,659.159,1.29675,1.90577,0.5266,1.28419,0,0.18852,0.68681,0.24007,0.15786,0.18701,0.68132,0.23502,0.13429,1.27735,2.4641,5.41692,1.31938,0,0.000416,0.000416,0.000416
26,682.679,1.30617,1.90073,0.52599,1.29122,0,0.18259,0.61244,0.26123,0.16721,0.18144,0.60989,0.24593,0.14069,1.30411,2.40585,5.61539,1.3319,0,0.00035,0.00035,0.00035
27,706.444,1.27718,1.86858,0.51813,1.27686,0,0.17871,0.63187,0.22842,0.14661,0.17715,0.62637,0.22299,0.12569,1.3328,2.34943,5.41745,1.35771,0,0.000284,0.000284,0.000284
28,730.305,1.27211,1.89848,0.51394,1.28147,0,0.17378,0.61538,0.23011,0.153,0.17222,0.60989,0.227,0.13122,1.27026,2.28875,5.69712,1.31718,0,0.000218,0.000218,0.000218
29,753.855,1.29504,1.88934,0.51262,1.28083,0,0.21311,0.6044,0.25703,0.16906,0.21118,0.5989,0.2512,0.1427,1.29794,2.38506,5.40922,1.33189,0,0.000152,0.000152,0.000152
30,777.424,1.2634,1.85699,0.50473,1.2763,0,0.16626,0.63736,0.23184,0.15374,0.16483,0.63187,0.22728,0.12992,1.29382,2.37171,5.58772,1.32735,0,8.6e-05,8.6e-05,8.6e-05
