epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2824,1.67475,2.71392,1.12685,1.41716,0,0.12321,0.91884,0.12437,0.07078,0.12174,0.90785,0.12122,0.05625,1.36253,2.75987,15.64,1.30271,0,0.000658333,0.000658333,0.000658333
2,38.6777,1.49234,2.34983,0.76851,1.31157,0,0.20254,0.5989,0.21591,0.12821,0.20069,0.59341,0.21085,0.09522,1.40041,3.27521,9.73389,1.34228,0,0.00128128,0.00128128,0.00128128
3,58.334,1.48732,2.34479,0.74393,1.30456,0,0.28191,0.58242,0.26815,0.14797,0.27127,0.56044,0.25004,0.09959,1.42391,2.8027,5.61273,1.35891,0,0.00186022,0.00186022,0.00186022
4,77.8541,1.4876,2.36606,0.7526,1.32424,0,0.18,0.51648,0.18323,0.11487,0.18,0.51648,0.18274,0.09738,1.31024,2.61456,5.76149,1.31035,0,0.001802,0.001802,0.001802
5,95.5571,1.45665,2.22021,0.70301,1.29045,0,0.23553,0.54945,0.23063,0.13214,0.23373,0.55495,0.22794,0.11167,1.52405,2.74234,5.16246,1.41617,0,0.001736,0.001736,0.001736
6,113.526,1.43472,2.18716,0.67066,1.27964,0,0.28547,0.64286,0.27186,0.1615,0.28955,0.62088,0.26957,0.13249,1.41773,2.62945,5.11141,1.3703,0,0.00167,0.00167,0.00167
7,133.308,1.43521,2.19897,0.67118,1.28495,0,0.17261,0.6866,0.20372,0.13333,0.17123,0.68111,0.20191,0.10647,1.26273,2.59563,6.78535,1.29935,0,0.001604,0.001604,0.001604
8,150.915,1.41261,2.17024,0.66465,1.27404,0,0.22629,0.59341,0.26152,0.1649,0.22387,0.58791,0.25357,0.13818,1.25554,2.57662,5.42689,1.27827,0,0.001538,0.001538,0.001538
9,170.336,1.41342,2.13775,0.65417,1.29176,0,0.28509,0.52806,0.26441,0.14953,0.28297,0.52747,0.25872,0.12697,1.39982,2.40881,5.55465,1.37583,0,0.001472,0.001472,0.001472
10,188.789,1.40634,2.11254,0.64444,1.269,0,0.23162,0.63187,0.25119,0.15829,0.22541,0.64286,0.24379,0.13593,1.28173,2.48167,5.1248,1.31083,0,0.001406,0.001406,0.001406
11,206.686,1.39444,2.1081,0.61717,1.25995,0,0.24649,0.58057,0.25524,0.17026,0.24649,0.58057,0.25524,0.13969,1.24914,2.649,5.29032,1.29086,0,0.00134,0.00134,0.00134
12,225.839,1.39215,2.09934,0.61973,1.25759,0,0.22703,0.62088,0.23637,0.14771,0.22502,0.61538,0.23247,0.1222,1.39061,2.57976,5.18544,1.35288,0,0.001274,0.001274,0.001274
13,243.819,1.383,2.08923,0.60687,1.26021,0,0.21644,0.56611,0.24072,0.15105,0.21405,0.54396,0.23788,0.12704,1.37616,2.50458,5.26209,1.3618,0,0.001208,0.001208,0.001208
14,261.741,1.38015,2.06237,0.59694,1.2626,0,0.2139,0.6044,0.24641,0.15768,0.21196,0.5989,0.2434,0.13184,1.26198,2.3746,5.43164,1.30178,0,0.001142,0.001142,0.001142
15,279.397,1.36587,2.0512,0.59274,1.26113,0,0.17779,0.53297,0.22983,0.1489,0.17643,0.52747,0.22671,0.12282,1.29932,2.48932,5.44518,1.30924,0,0.001076,0.001076,0.001076
16,297.238,1.36298,2.00883,0.59147,1.25099,0,0.22068,0.54945,0.25701,0.16307,0.21814,0.54396,0.25131,0.13876,1.30696,2.38229,5.51455,1.30679,0,0.00101,0.00101,0.00101
17,315.225,1.36556,2.02138,0.58317,1.24534,0,0.24166,0.60989,0.25874,0.1556,0.23948,0.6044,0.25173,0.13385,1.35299,2.36429,4.95831,1.3348,0,0.000944,0.000944,0.000944
18,333.28,1.32997,1.97864,0.57389,1.2301,0,0.27742,0.51473,0.26076,0.16368,0.24692,0.53507,0.25351,0.14044,1.34011,2.43512,5.09282,1.31757,0,0.000878,0.000878,0.000878
19,351.237,1.33503,1.98415,0.56821,1.23155,0,0.25007,0.55495,0.25823,0.1693,0.2476,0.54945,0.24921,0.14168,1.24377,2.35777,5.77879,1.26952,0,0.000812,0.000812,0.000812
20,370.565,1.34389,1.95111,0.57009,1.25054,0,0.19999,0.61538,0.27017,0.17773,0.19821,0.60989,0.26306,0.14916,1.24181,2.38721,5.37389,1.28021,0,0.000746,0.000746,0.000746
21,411.122,1.34767,1.99057,0.57507,1.30053,0,0.28625,0.62088,0.27952,0.17774,0.28055,0.62088,0.27535,0.15336,1.27714,2.31443,5.09024,1.27478,0,0.00068,0.00068,0.00068
22,428.347,1.33129,1.97791,0.5617,1.28642,0,0.24369,0.59341,0.27651,0.18064,0.24115,0.58791,0.26942,0.15096,1.25167,2.46075,5.30836,1.29004,0,0.000614,0.000614,0.000614
23,446.002,1.32505,1.97805,0.56492,1.29091,0,0.17762,0.67645,0.2635,0.17428,0.17618,0.67095,0.25599,0.14383,1.25155,2.47449,5.61097,1.29251,0,0.000548,0.000548,0.000548
24,461.778,1.31623,1.9421,0.55953,1.28033,0,0.28467,0.54945,0.33529,0.2164,0.28127,0.54396,0.32276,0.18213,1.25586,2.36372,5.18328,1.29775,0,0.000482,0.000482,0.000482
25,479.041,1.31421,1.93972,0.54659,1.27688,0,0.22402,0.56593,0.27334,0.17304,0.21781,0.56593,0.26329,0.14654,1.30928,2.36262,5.31353,1.30767,0,0.000416,0.000416,0.000416
26,495.023,1.31221,1.92519,0.53913,1.26994,0,0.19114,0.67582,0.23929,0.1616,0.18959,0.67033,0.23424,0.13544,1.26425,2.37634,5.1162,1.29091,0,0.00035,0.00035,0.00035
27,511.145,1.2993,1.92018,0.53951,1.27466,0,0.19309,0.65934,0.27193,0.17801,0.1819,0.67582,0.26726,0.14939,1.2754,2.42768,5.43384,1.30065,0,0.000284,0.000284,0.000284
28,526.552,1.30285,1.90653,0.52721,1.26756,0,0.21653,0.55732,0.24787,0.16232,0.2144,0.55182,0.24462,0.13609,1.27666,2.41532,5.41511,1.28654,0,0.000218,0.000218,0.000218
29,542.559,1.29109,1.89879,0.52334,1.26458,0,0.18165,0.6978,0.24198,0.15621,0.18022,0.69231,0.23703,0.13254,1.29134,2.35719,5.3441,1.30341,0,0.000152,0.000152,0.000152
30,558.402,1.27453,1.88196,0.52033,1.25771,0,0.22353,0.56044,0.25833,0.17101,0.22134,0.55495,0.25445,0.14371,1.2868,2.37815,5.25553,1.29194,0,8.6e-05,8.6e-05,8.6e-05
